areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2021-02-14,21054
overview,United Kingdom,K02000001,2021-02-13,20970
overview,United Kingdom,K02000001,2021-02-12,22324
overview,United Kingdom,K02000001,2021-02-11,23411
overview,United Kingdom,K02000001,2021-02-10,24417
overview,United Kingdom,K02000001,2021-02-09,25689
overview,United Kingdom,K02000001,2021-02-08,26744
overview,United Kingdom,K02000001,2021-02-07,26800
overview,United Kingdom,K02000001,2021-02-06,26914
overview,United Kingdom,K02000001,2021-02-05,28383
overview,United Kingdom,K02000001,2021-02-04,29413
overview,United Kingdom,K02000001,2021-02-03,30604
overview,United Kingdom,K02000001,2021-02-02,31766
overview,United Kingdom,K02000001,2021-02-01,32960
overview,United Kingdom,K02000001,2021-01-31,32586
overview,United Kingdom,K02000001,2021-01-30,33016
overview,United Kingdom,K02000001,2021-01-29,33848
overview,United Kingdom,K02000001,2021-01-28,34910
overview,United Kingdom,K02000001,2021-01-27,35514
overview,United Kingdom,K02000001,2021-01-26,37102
overview,United Kingdom,K02000001,2021-01-25,37757
overview,United Kingdom,K02000001,2021-01-24,37731
overview,United Kingdom,K02000001,2021-01-23,37399
overview,United Kingdom,K02000001,2021-01-22,38259
overview,United Kingdom,K02000001,2021-01-21,38060
overview,United Kingdom,K02000001,2021-01-20,38740
overview,United Kingdom,K02000001,2021-01-19,38847
overview,United Kingdom,K02000001,2021-01-18,39255
overview,United Kingdom,K02000001,2021-01-17,38170
overview,United Kingdom,K02000001,2021-01-16,37716
overview,United Kingdom,K02000001,2021-01-15,38134
overview,United Kingdom,K02000001,2021-01-14,37693
overview,United Kingdom,K02000001,2021-01-13,37488
overview,United Kingdom,K02000001,2021-01-12,36982
overview,United Kingdom,K02000001,2021-01-11,36752
overview,United Kingdom,K02000001,2021-01-10,35392
overview,United Kingdom,K02000001,2021-01-09,34033
overview,United Kingdom,K02000001,2021-01-08,33779
overview,United Kingdom,K02000001,2021-01-07,32584
overview,United Kingdom,K02000001,2021-01-06,31947
overview,United Kingdom,K02000001,2021-01-05,30687
overview,United Kingdom,K02000001,2021-01-04,30776
overview,United Kingdom,K02000001,2021-01-03,29034
overview,United Kingdom,K02000001,2021-01-02,27562
overview,United Kingdom,K02000001,2021-01-01,26390
overview,United Kingdom,K02000001,2020-12-31,26578
overview,United Kingdom,K02000001,2020-12-30,26551
overview,United Kingdom,K02000001,2020-12-29,25549
overview,United Kingdom,K02000001,2020-12-28,24049
overview,United Kingdom,K02000001,2020-12-27,22764
overview,United Kingdom,K02000001,2020-12-26,21730
overview,United Kingdom,K02000001,2020-12-25,20918
overview,United Kingdom,K02000001,2020-12-24,21577
overview,United Kingdom,K02000001,2020-12-23,21222
overview,United Kingdom,K02000001,2020-12-22,21488
overview,United Kingdom,K02000001,2020-12-21,21133
overview,United Kingdom,K02000001,2020-12-20,20004
overview,United Kingdom,K02000001,2020-12-19,19463
overview,United Kingdom,K02000001,2020-12-18,19117
overview,United Kingdom,K02000001,2020-12-17,18970
overview,United Kingdom,K02000001,2020-12-16,18671
overview,United Kingdom,K02000001,2020-12-15,18216
overview,United Kingdom,K02000001,2020-12-14,18246
overview,United Kingdom,K02000001,2020-12-13,17538
overview,United Kingdom,K02000001,2020-12-12,16909
overview,United Kingdom,K02000001,2020-12-11,16885
overview,United Kingdom,K02000001,2020-12-10,16723
overview,United Kingdom,K02000001,2020-12-09,16331
overview,United Kingdom,K02000001,2020-12-08,16477
overview,United Kingdom,K02000001,2020-12-07,16415
overview,United Kingdom,K02000001,2020-12-06,15960
overview,United Kingdom,K02000001,2020-12-05,15688
overview,United Kingdom,K02000001,2020-12-04,15727
overview,United Kingdom,K02000001,2020-12-03,15658
overview,United Kingdom,K02000001,2020-12-02,15977
overview,United Kingdom,K02000001,2020-12-01,16312
overview,United Kingdom,K02000001,2020-11-30,16565
overview,United Kingdom,K02000001,2020-11-29,16313
overview,United Kingdom,K02000001,2020-11-28,15985
overview,United Kingdom,K02000001,2020-11-27,16571
overview,United Kingdom,K02000001,2020-11-26,16762
overview,United Kingdom,K02000001,2020-11-25,17132
